Information Systems/Applications Integration,"A set of services and solutions for bringing together disparate application and business processes as needed to meet the diverse information requirements of your customers, partners, suppliers and employees.  "
Data Level Integration,combining data from different sources and providing users with a unified 2.  3 Data Integration 23 view over them
The evolution of programming abstractions,Services: customer‚ and‚service provider‚  Lines of code vs.  Services - consider software building exercise as ‚building services‚discovering services‚ and ‚combining services.
The evolution of programming abstractions,"In SOA, we talk about software as a service.That is, SOA is about building software systems composed of a collection of (software) services"
Service orientation,"a way of integrating your applications as a set of linked services.   If you can define the services, you can begin to link the services to realise more complicated 'services'"
Enterprise Application Integration (EAI),"EAI definition by Hewlett Packard: A set of services and solutions for bringing together disparate application and business processes as needed to meet the diverse information requirements of your customers, partners, suppliers and employees.  "
Characteristics of Top-down Design,"1.  goals: Focus first on the high-level objectives, then proceed to define everything required to achieve those goals 2.  tightly coupled: To simplify system development/maintenance, distributed nodes are usually created to run on homogeneous computing environments.   Functionality of one component depends on the functionality of other components.   3.  more control: relatively easy to address both functional and non-functional (e.  g.  , performance) issues 4.  from-scratch-development: few information systems nowadays can be developed this way"
Legacy Systems,a computer system or application program which continues to be used because of the cost of replacing or redesigning it
Characteristics of Bottom-Up Design,"1.  legacy systems: In a bottom up design, many of the basic components already exist.   These are stand-alone systems which need to be integrated into a new system.   2.  loosely coupled: The components do not necessarily cease to work as stand-alone components.   Often old applications continue running at the same time as new applications.   3.  wider usage: This approach is used widely because legacy systems exist and typically cannot be easily replaced.  "
Information System Design,"Two approaches: Top-down, Bottom-up"
Architecture of an Information System,"1-Tier, 2-Tier, 3-Tier.  "
1-Tier system,"users/programs access the system through ‚ dumb‚  terminals, whose display is controlled by the information system"
2-Tier system,client can have more sophisticated presentation layers while also saving computer resources on the server.   The resource manager still only sees one client: the application logic.   This helps with performance since there are no client connections/sessions
3-Tier system,Added - application logic layer (aka middleware) introduces an additional layer of business logic encompassing all underlying systems
The Middleware in 3-Tier,"It enables transparent access to the underlying systems, the integration of systems built using other architectures"
N-Tier system,N-Tier: could be 3-Tier plus Web-enablement layer or integration of many 3-Tier systems (modern application servers)
Communication in a Information System,There are two communication patterns widely used: synchronous and asynchronous. synchronous: blocking interaction‚asynchronous: non blocking interaction
Non Blocking Calls,a call to the server returns immediately and client can continue to run and occasionally check with server to see if a response is ready
Web applications,Web applications ‚ apps over the Web
HTTP Request Methods (version 1.1),"GET, HEAD, POST"
